Site,Time Point,Reef Builder Cover
Mainland,T9,6
Mainland,T9,10
Mainland,T9,8
Mainland,T9,18
Mainland,T9,6
Mainland,T9,4
Mainland,T9,2
Mainland,T9,0
Mainland,T9,0
Mainland,T9,0
Mainland,T9,0
Pastores,T9,4
Pastores,T9,6
Pastores,T9,10
Pastores,T9,4
Pastores,T9,2
Pastores,T9,0
Pastores,T9,2
Pastores,T9,0
Pastores,T9,2
Pastores,T9,0
Pastores,T9,0
Popa,T9,4
Popa,T9,10
Popa,T9,6
Popa,T9,6
Popa,T9,6
Popa,T9,12
Popa,T9,4
Popa,T9,6
Popa,T9,2
Popa,T9,0
Punta Juan,T9,10
Punta Juan,T9,18
Punta Juan,T9,18
Punta Juan,T9,40
Punta Juan,T9,22
Punta Juan,T9,12
Punta Juan,T9,8
Punta Juan,T9,48
Punta Juan,T9,62
Punta Juan,T9,64
Punta Juan,T9,56
Punta Juan,T9,50
Punta Juan,T9,66
Salt Creek,T9,8
Salt Creek,T9,20
Salt Creek,T9,8
Salt Creek,T9,28
Salt Creek,T9,8
Salt Creek,T9,8
Salt Creek,T9,52
Salt Creek,T9,8
Salt Creek,T9,18
Salt Creek,T9,0
Salt Creek,T9,20
STRI,T9,2
STRI,T9,12
STRI,T9,4
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,0
STRI,T9,2
STRI,T9,0
